feature,importance_coefficient
positive_rate_smoothed_zscore,3.720407519156873
people_vaccinated_per_hundred_smoothed_roll7_std,-2.846758884705347
positive_rate_smoothed_roll7_std,1.7114060770461088
reproduction_rate_smoothed_x_stringency,0.9336900048361402
reproduction_rate_smoothed,-0.7372796352095173
positive_rate_smoothed_squared,-0.5944204544797875
stringency_volatility,-0.5202965069032471
new_cases_smoothed_per_million_smoothed_x_stringency,-0.3619792811894117
new_cases_smoothed_per_million_smoothed_roll7_std,0.3584337476600002
people_vaccinated_per_hundred_smoothed_x_stringency,0.32653766192431355
reproduction_rate_smoothed_zscore,0.2039350038156345
new_cases_smoothed_per_million_smoothed_zscore,0.18761495576542966
new_tests_smoothed_per_thousand_smoothed_zscore,-0.16967759904014687
new_tests_smoothed_per_thousand_smoothed,0.16730685662881314
stringency_index_smoothed,-0.09434065779747915
people_vaccinated_per_hundred_smoothed_zscore,0.0
new_tests_smoothed_per_thousand_smoothed_roll7_std,0.0
new_tests_smoothed_per_thousand_smoothed_x_stringency,0.0
reproduction_rate_smoothed_roll7_std,0.0
positive_rate_smoothed_x_stringency,0.0
positive_rate_smoothed,0.0
new_cases_smoothed_per_million_smoothed,0.0
new_cases_smoothed_per_million_smoothed_squared,0.0
people_vaccinated_per_hundred_smoothed,0.0
