,importance
new_deaths_smoothed_per_million,0.43783366762276454
hosp_patients_per_million,0.11556890881976269
hosp_patients_per_million_roll_avg7,0.05852221097245342
new_deaths_smoothed_per_million_roll_avg7,0.049857267045760226
stringency_index_roll_avg14,0.04822214612501587
stringency_index,0.03904897638705967
stringency_index_roll_avg7,0.02025162783868529
extreme_poverty,0.018673849410866947
new_deaths_smoothed_per_million_roll_avg14,0.01847851429968293
population_density,0.017936702379768087
stringency_index_lag14,0.016813008346904242
human_development_index,0.016531020993051416
diabetes_prevalence,0.014791217088820379
new_cases_smoothed_per_million_lag14,0.013821689791187553
total_boosters_per_hundred_lag14,0.01160402874376155
aged_65_older,0.009691253605521236
gdp_per_capita,0.009315024402118195
new_cases_smoothed_per_million_lag7,0.008546224132230083
hospital_beds_per_thousand,0.008221061180314394
stringency_index_lag7,0.0059347662931954785
hosp_patients_per_million_lag14,0.005843399362021989
life_expectancy,0.0053598378856853385
total_boosters_per_hundred_roll_avg14,0.005271795616178587
cardiovasc_death_rate,0.004579654716202062
new_cases_smoothed_per_million,0.004540074471419792
new_deaths_smoothed_per_million_lag7,0.0036720676038060245
total_boosters_per_hundred_lag7,0.0034780921049916056
new_cases_smoothed_per_million_roll_avg14,0.0031236373193165466
median_age,0.003024895720025646
new_tests_smoothed_per_thousand_roll_avg14,0.002755337181067628
people_fully_vaccinated_per_hundred_lag14,0.002247088073755896
hosp_patients_per_million_roll_avg14,0.0022099119385157327
new_cases_smoothed_per_million_roll_avg7,0.0019668661491738233
people_fully_vaccinated_per_hundred_roll_avg14,0.0018777371090151415
new_deaths_smoothed_per_million_lag14,0.0017379769605142374
positive_rate,0.0010041793957760458
positive_rate_lag7,0.0008402186412107224
new_tests_smoothed_per_thousand_lag14,0.0008159383160644345
positive_rate_roll_avg7,0.0007559721356600287
positive_rate_lag14,0.0007261503665718868
people_fully_vaccinated_per_hundred,0.0006573610997289245
hosp_patients_per_million_lag7,0.0005360025666987166
people_fully_vaccinated_per_hundred_roll_avg7,0.0005038492096374658
reproduction_rate_lag14,0.00045190016384586264
total_boosters_per_hundred,0.0004345229292906996
total_boosters_per_hundred_roll_avg7,0.00039001881130144243
reproduction_rate_roll_avg14,0.0003835487834212043
new_tests_smoothed_per_thousand,0.0002836896988611673
new_tests_smoothed_per_thousand_roll_avg7,0.00027070851808442886
new_tests_smoothed_per_thousand_lag7,0.00019552932725676924
people_fully_vaccinated_per_hundred_lag7,0.00017753175048355812
reproduction_rate_lag7,0.00011139260857619304
reproduction_rate_roll_avg7,0.00010994798691640137
positive_rate_roll_avg14,0.0
reproduction_rate,0.0
